subject,question,option1,option2,option3,option4,answer
pharmacology, Which drug is a proton pump inhibitor (PPI) used to reduce stomach acid?,Omeprazole,Ranitidine,Metoclopramide,Misoprostol,Omeprazole
pharmacology, What is the antidote for an overdose of Acetaminophen (Paracetamol)?,N-acetylcysteine,Naloxone,Flumazenil,Atropine,N-acetylcysteine
pharmacology, Which category of drugs is primarily used to treat severe depression?,Antidepressants,Antipsychotics,Anxiolytics,Sedatives,Antidepressants
pharmacology, What is the mechanism of action of Paracetamol?,COX inhibition in CNS,Opioid receptor agonist,Beta blocker,Calcium channel blocker,COX inhibition in CNS
pharmacology, Which of the following is classified as a broad-spectrum antibiotic?,Amoxicillin,Penicillin G,Nystatin,Acyclovir,Amoxicillin
pharmacology, What is the primary medical use of Insulin?,Diabetes Mellitus,Hypertension,Asthma,Hyperlipidemia,Diabetes Mellitus
pharmacology, Which drug is a well-known anticoagulant often called a blood thinner?,Warfarin,Aspirin,Ibuprofen,Metformin,Warfarin
pharmacology, What type of drug is used to lower high blood pressure?,Antihypertensive,Analgesic,Antipyretic,Antibiotic,Antihypertensive
pharmacology, Which of the following medications is a fast-acting bronchodilator for asthma?,Albuterol,Metoprolol,Omeprazole,Atorvastatin,Albuterol
pharmacology, What is a common side effect of first-generation antihistamines?,Drowsiness,Insomnia,Hypertension,Diarrhea,Drowsiness
pharmacology, Which drug is a proton pump inhibitor (PPI) used to reduce stomach acid?,Omeprazole,Ranitidine,Metoclopramide,Misoprostol,Omeprazole
pharmacology, What is the antidote for an overdose of Acetaminophen (Paracetamol)?,N-acetylcysteine,Naloxone,Flumazenil,Atropine,N-acetylcysteine
pharmacology, Which category of drugs is primarily used to treat severe depression?,Antidepressants,Antipsychotics,Anxiolytics,Sedatives,Antidepressants
pharmacology, What is the mechanism of action of Paracetamol?,COX inhibition in CNS,Opioid receptor agonist,Beta blocker,Calcium channel blocker,COX inhibition in CNS
pharmacology, Which of the following is classified as a broad-spectrum antibiotic?,Amoxicillin,Penicillin G,Nystatin,Acyclovir,Amoxicillin
pharmacology, What is the primary medical use of Insulin?,Diabetes Mellitus,Hypertension,Asthma,Hyperlipidemia,Diabetes Mellitus
pharmacology, Which drug is a well-known anticoagulant often called a blood thinner?,Warfarin,Aspirin,Ibuprofen,Metformin,Warfarin
pharmacology, What type of drug is used to lower high blood pressure?,Antihypertensive,Analgesic,Antipyretic,Antibiotic,Antihypertensive
pharmacology, Which of the following medications is a fast-acting bronchodilator for asthma?,Albuterol,Metoprolol,Omeprazole,Atorvastatin,Albuterol
pharmacology, What is a common side effect of first-generation antihistamines?,Drowsiness,Insomnia,Hypertension,Diarrhea,Drowsiness
pharmacology, Which drug is a proton pump inhibitor (PPI) used to reduce stomach acid?,Omeprazole,Ranitidine,Metoclopramide,Misoprostol,Omeprazole
pharmacology, What is the antidote for an overdose of Acetaminophen (Paracetamol)?,N-acetylcysteine,Naloxone,Flumazenil,Atropine,N-acetylcysteine
pharmacology, Which category of drugs is primarily used to treat severe depression?,Antidepressants,Antipsychotics,Anxiolytics,Sedatives,Antidepressants
pharmacology, What is the mechanism of action of Paracetamol?,COX inhibition in CNS,Opioid receptor agonist,Beta blocker,Calcium channel blocker,COX inhibition in CNS
pharmacology, Which of the following is classified as a broad-spectrum antibiotic?,Amoxicillin,Penicillin G,Nystatin,Acyclovir,Amoxicillin
pharmacology, What is the primary medical use of Insulin?,Diabetes Mellitus,Hypertension,Asthma,Hyperlipidemia,Diabetes Mellitus
pharmacology, Which drug is a well-known anticoagulant often called a blood thinner?,Warfarin,Aspirin,Ibuprofen,Metformin,Warfarin
pharmacology, What type of drug is used to lower high blood pressure?,Antihypertensive,Analgesic,Antipyretic,Antibiotic,Antihypertensive
pharmacology, Which of the following medications is a fast-acting bronchodilator for asthma?,Albuterol,Metoprolol,Omeprazole,Atorvastatin,Albuterol
pharmacology, What is a common side effect of first-generation antihistamines?,Drowsiness,Insomnia,Hypertension,Diarrhea,Drowsiness
pharmacology, Which drug is a proton pump inhibitor (PPI) used to reduce stomach acid?,Omeprazole,Ranitidine,Metoclopramide,Misoprostol,Omeprazole
pharmacology, What is the antidote for an overdose of Acetaminophen (Paracetamol)?,N-acetylcysteine,Naloxone,Flumazenil,Atropine,N-acetylcysteine
pharmacology, Which category of drugs is primarily used to treat severe depression?,Antidepressants,Antipsychotics,Anxiolytics,Sedatives,Antidepressants
pharmacology, What is the mechanism of action of Paracetamol?,COX inhibition in CNS,Opioid receptor agonist,Beta blocker,Calcium channel blocker,COX inhibition in CNS
pharmacology, Which of the following is classified as a broad-spectrum antibiotic?,Amoxicillin,Penicillin G,Nystatin,Acyclovir,Amoxicillin
pharmacology, What is the primary medical use of Insulin?,Diabetes Mellitus,Hypertension,Asthma,Hyperlipidemia,Diabetes Mellitus
pharmacology, Which drug is a well-known anticoagulant often called a blood thinner?,Warfarin,Aspirin,Ibuprofen,Metformin,Warfarin
pharmacology, What type of drug is used to lower high blood pressure?,Antihypertensive,Analgesic,Antipyretic,Antibiotic,Antihypertensive
pharmacology, Which of the following medications is a fast-acting bronchodilator for asthma?,Albuterol,Metoprolol,Omeprazole,Atorvastatin,Albuterol
pharmacology, What is a common side effect of first-generation antihistamines?,Drowsiness,Insomnia,Hypertension,Diarrhea,Drowsiness
pharmacology, Which drug is a proton pump inhibitor (PPI) used to reduce stomach acid?,Omeprazole,Ranitidine,Metoclopramide,Misoprostol,Omeprazole
pharmacology, What is the antidote for an overdose of Acetaminophen (Paracetamol)?,N-acetylcysteine,Naloxone,Flumazenil,Atropine,N-acetylcysteine
pharmacology, Which category of drugs is primarily used to treat severe depression?,Antidepressants,Antipsychotics,Anxiolytics,Sedatives,Antidepressants
pharmaceutics, What is the term for a liquid dosage form containing insoluble solid particles?,Suspension,Emulsion,Solution,Elixir,Suspension
pharmaceutics, Which dosage form is designed to bypass the stomach and dissolve in the intestine?,Enteric-coated tablet,Effervescent tablet,Sublingual tablet,Capsule,Enteric-coated tablet
pharmaceutics, What is the primary purpose of adding a binder in a tablet formulation?,To hold ingredients together,To make it taste sweet,To make it dissolve faster,To add color,To hold ingredients together
pharmaceutics, Which route of drug administration provides 100% bioavailability?,Intravenous (IV),Oral,Subcutaneous,Intramuscular,Intravenous (IV)
pharmaceutics, What is the term for a preparation consisting of two immiscible liquids?,Emulsion,Suspension,Syrup,Tincture,Emulsion
pharmaceutics, Which test is used to measure the structural integrity and durability of a tablet?,Friability test,Disintegration test,Dissolution test,Hardness test,Friability test
pharmaceutics, What type of water is strictly required for preparing parenterals (injections)?,Water for Injection,Purified water,Distilled water,Tap water,Water for Injection
pharmaceutics, Which component is used to prevent the growth of microbes in multi-dose liquids?,Preservative,Diluent,Glidant,Disintegrant,Preservative
pharmaceutics, What is the process of reducing the particle size of a solid drug called?,Comminution,Granulation,Trituration,Desiccation,Comminution
pharmaceutics, Which container is completely impermeable to air, moisture, and microbes?",Hermetic container,Well-closed container,Light-resistant container,Tight container,Hermetic container
pharmaceutics, What is the term for a liquid dosage form containing insoluble solid particles?,Suspension,Emulsion,Solution,Elixir,Suspension
pharmaceutics, Which dosage form is designed to bypass the stomach and dissolve in the intestine?,Enteric-coated tablet,Effervescent tablet,Sublingual tablet,Capsule,Enteric-coated tablet
pharmaceutics, What is the primary purpose of adding a binder in a tablet formulation?,To hold ingredients together,To make it taste sweet,To make it dissolve faster,To add color,To hold ingredients together
pharmaceutics, Which route of drug administration provides 100% bioavailability?,Intravenous (IV),Oral,Subcutaneous,Intramuscular,Intravenous (IV)
pharmaceutics, What is the term for a preparation consisting of two immiscible liquids?,Emulsion,Suspension,Syrup,Tincture,Emulsion
pharmaceutics, Which test is used to measure the structural integrity and durability of a tablet?,Friability test,Disintegration test,Dissolution test,Hardness test,Friability test
pharmaceutics, What type of water is strictly required for preparing parenterals (injections)?,Water for Injection,Purified water,Distilled water,Tap water,Water for Injection
pharmaceutics, Which component is used to prevent the growth of microbes in multi-dose liquids?,Preservative,Diluent,Glidant,Disintegrant,Preservative
pharmaceutics, What is the process of reducing the particle size of a solid drug called?,Comminution,Granulation,Trituration,Desiccation,Comminution
pharmaceutics, Which container is completely impermeable to air, moisture, and microbes?",Hermetic container,Well-closed container,Light-resistant container,Tight container,Hermetic container
pharmaceutics, What is the term for a liquid dosage form containing insoluble solid particles?,Suspension,Emulsion,Solution,Elixir,Suspension
pharmaceutics, Which dosage form is designed to bypass the stomach and dissolve in the intestine?,Enteric-coated tablet,Effervescent tablet,Sublingual tablet,Capsule,Enteric-coated tablet
pharmaceutics, What is the primary purpose of adding a binder in a tablet formulation?,To hold ingredients together,To make it taste sweet,To make it dissolve faster,To add color,To hold ingredients together
pharmaceutics, Which route of drug administration provides 100% bioavailability?,Intravenous (IV),Oral,Subcutaneous,Intramuscular,Intravenous (IV)
pharmaceutics, What is the term for a preparation consisting of two immiscible liquids?,Emulsion,Suspension,Syrup,Tincture,Emulsion
pharmaceutics, Which test is used to measure the structural integrity and durability of a tablet?,Friability test,Disintegration test,Dissolution test,Hardness test,Friability test
pharmaceutics, What type of water is strictly required for preparing parenterals (injections)?,Water for Injection,Purified water,Distilled water,Tap water,Water for Injection
pharmaceutics, Which component is used to prevent the growth of microbes in multi-dose liquids?,Preservative,Diluent,Glidant,Disintegrant,Preservative
pharmaceutics, What is the process of reducing the particle size of a solid drug called?,Comminution,Granulation,Trituration,Desiccation,Comminution
pharmaceutics, which container is completely impermeable to air, moisture, and microbes?",Hermetic container,Well-closed container,Light-resistant container,Tight container,Hermetic container
pharmaceutics, What is the term for a liquid dosage form containing insoluble solid particles?,Suspension,Emulsion,Solution,Elixir,Suspension
pharmaceutics, Which dosage form is designed to bypass the stomach and dissolve in the intestine?,Enteric-coated tablet,Effervescent tablet,Sublingual tablet,Capsule,Enteric-coated tablet
pharmaceutics, What is the primary purpose of adding a binder in a tablet formulation?,To hold ingredients together,To make it taste sweet,To make it dissolve faster,To add color,To hold ingredients together
pharmaceutics,Which route of drug administration provides 100% bioavailability?,Intravenous (IV),Oral,Subcutaneous,Intramuscular,Intravenous (IV)
pharmaceutics, What is the term for a preparation consisting of two immiscible liquids?,Emulsion,Suspension,Syrup,Tincture,Emulsion
pharmaceutics, Which test is used to measure the structural integrity and durability of a tablet?,Friability test,Disintegration test,Dissolution test,Hardness test,Friability test
pharmaceutics, What type of water is strictly required for preparing parenterals (injections)?,Water for Injection,Purified water,Distilled water,Tap water,Water for Injection
pharmaceutics, Which component is used to prevent the growth of microbes in multi-dose liquids?,Preservative,Diluent,Glidant,Disintegrant,Preservative
pharmaceutics, What is the process of reducing the particle size of a solid drug called?,Comminution,Granulation,Trituration,Desiccation,Comminution
pharmaceutics, Which container is completely impermeable to air, moisture, and microbes?",Hermetic container,Well-closed container,Light-resistant container,Tight container,Hermetic container
pharmaceutics, What is the term for a liquid dosage form containing insoluble solid particles?,Suspension,Emulsion,Solution,Elixir,Suspension
pharmaceutics, Which dosage form is designed to bypass the stomach and dissolve in the intestine?,Enteric-coated tablet,Effervescent tablet,Sublingual tablet,Capsule,Enteric-coated tablet
pharmaceutics, What is the primary purpose of adding a binder in a tablet formulation?,To hold ingredients together,To make it taste sweet,To make it dissolve faster,To add color,To hold ingredients together
pharmaceutics, Which route of drug administration provides 100% bioavailability?,Intravenous (IV),Oral,Subcutaneous,Intramuscular,Intravenous (IV)
pharmaceutics, What is the term for a preparation consisting of two immiscible liquids?,Emulsion,Suspension,Syrup,Tincture,Emulsion
pharmaceutics, Which test is used to measure the structural integrity and durability of a tablet?,Friability test,Disintegration test,Dissolution test,Hardness test,Friability test
pharmaceutics, What type of water is strictly required for preparing parenterals (injections)?,Water for Injection,Purified water,Distilled water,Tap water,Water for Injection
pharmaceutics, Which component is used to prevent the growth of microbes in multi-dose liquids?,Preservative,Diluent,Glidant,Disintegrant,Preservative
pharmaceutics, What is the process of reducing the particle size of a solid drug called?,Comminution,Granulation,Trituration,Desiccation,Comminution
pharmaceutics, Which container is completely impermeable to air, moisture, and microbes?",Hermetic container,Well-closed container,Light-resistant container,Tight container,Hermetic container
pharmaceutics, What is the term for a liquid dosage form containing insoluble solid particles?,Suspension,Emulsion,Solution,Elixir,Suspension
pharmaceutics, Which dosage form is designed to bypass the stomach and dissolve in the intestine?,Enteric-coated tablet,Effervescent tablet,Sublingual tablet,Capsule,Enteric-coated tablet
pharmaceutics, What is the primary purpose of adding a binder in a tablet formulation?,To hold ingredients together,To make it taste sweet,To make it dissolve faster,To add color,To hold ingredients together
pharmaceutics, Which route of drug administration provides 100% bioavailability?,Intravenous (IV),Oral,Subcutaneous,Intramuscular,Intravenous (IV)
pharmaceutics, What is the term for a preparation consisting of two immiscible liquids?,Emulsion,Suspension,Syrup,Tincture,Emulsion
pharmaceutics, Which test is used to measure the structural integrity and durability of a tablet?,Friability test,Disintegration test,Dissolution test,Hardness test,Friability test
pharmaceutics, What type of water is strictly required for preparing parenterals (injections)?,Water for Injection,Purified water,Distilled water,Tap water,Water for Injection
pharmaceutics, Which component is used to prevent the growth of microbes in multi-dose liquids?,Preservative,Diluent,Glidant,Disintegrant,Preservative
pharmaceutics, What is the process of reducing the particle size of a solid drug called?,Comminution,Granulation,Trituration,Desiccation,Comminution
pharmaceutics, Which container is completely impermeable to air, moisture, and microbes?",Hermetic container,Well-closed container,Light-resistant container,Tight container,Hermetic container
pharmaceutics, What is the term for a liquid dosage form containing insoluble solid particles?,Suspension,Emulsion,Solution,Elixir,Suspension
pharmaceutics, Which dosage form is designed to bypass the stomach and dissolve in the intestine?,Enteric-coated tablet,Effervescent tablet,Sublingual tablet,Capsule,Enteric-coated tablet
pharmaceutics, What is the primary purpose of adding a binder in a tablet formulation?,To hold ingredients together,To make it taste sweet,To make it dissolve faster,To add color,To hold ingredients together
pharmaceutics, Which route of drug administration provides 100% bioavailability?,Intravenous (IV),Oral,Subcutaneous,Intramuscular,Intravenous (IV)
pharmaceutics, What is the term for a preparation consisting of two immiscible liquids?,Emulsion,Suspension,Syrup,Tincture,Emulsion
pharmaceutics, Which test is used to measure the structural integrity and durability of a tablet?,Friability test,Disintegration test,Dissolution test,Hardness test,Friability test
pharmaceutics, What type of water is strictly required for preparing parenterals (injections)?,Water for Injection,Purified water,Distilled water,Tap water,Water for Injection
pharmaceutics, Which component is used to prevent the growth of microbes in multi-dose liquids?,Preservative,Diluent,Glidant,Disintegrant,Preservative
pharmaceutics, What is the process of reducing the particle size of a solid drug called?,Comminution,Granulation,Trituration,Desiccation,Comminution
pharmaceutics, Which container is completely impermeable to air, moisture, and microbes?",Hermetic container,Well-closed container,Light-resistant container,Tight container,Hermetic container
pharmaceutics, What is the term for a liquid dosage form containing insoluble solid particles?,Suspension,Emulsion,Solution,Elixir,Suspension
pharmaceutics, Which dosage form is designed to bypass the stomach and dissolve in the intestine?,Enteric-coated tablet,Effervescent tablet,Sublingual tablet,Capsule,Enteric-coated tablet
pharmaceutics, What is the primary purpose of adding a binder in a tablet formulation?,To hold ingredients together,To make it taste sweet,To make it dissolve faster,To add color,To hold ingredients together
pharmaceutics, Which route of drug administration provides 100% bioavailability?,Intravenous (IV),Oral,Subcutaneous,Intramuscular,Intravenous (IV)
pharmaceutics, What is the term for a preparation consisting of two immiscible liquids?,Emulsion,Suspension,Syrup,Tincture,Emulsion
pharmaceutics, Which test is used to measure the structural integrity and durability of a tablet?,Friability test,Disintegration test,Dissolution test,Hardness test,Friability test
pharmaceutics, What type of water is strictly required for preparing parenterals (injections)?,Water for Injection,Purified water,Distilled water,Tap water,Water for Injection
pharmaceutics, Which component is used to prevent the growth of microbes in multi-dose liquids?,Preservative,Diluent,Glidant,Disintegrant,Preservative
pharmaceutics, What is the process of reducing the particle size of a solid drug called?,Comminution,Granulation,Trituration,Desiccation,Comminution
pharmaceutics, Which container is completely impermeable to air, moisture, and microbes?",Hermetic container,Well-closed container,Light-resistant container,Tight container,Hermetic container
pharmaceutics, What is the term for a liquid dosage form containing insoluble solid particles?,Suspension,Emulsion,Solution,Elixir,Suspension
pharmaceutics, Which dosage form is designed to bypass the stomach and dissolve in the intestine?,Enteric-coated tablet,Effervescent tablet,Sublingual tablet,Capsule,Enteric-coated tablet
pharmaceutics, What is the primary purpose of adding a binder in a tablet formulation?,To hold ingredients together,To make it taste sweet,To make it dissolve faster,To add color,To hold ingredients together
pharmaceutics, Which route of drug administration provides 100% bioavailability?,Intravenous (IV),Oral,Subcutaneous,Intramuscular,Intravenous (IV)
pharmaceutics, What is the term for a preparation consisting of two immiscible liquids?,Emulsion,Suspension,Syrup,Tincture,Emulsion
pharmaceutics, Which test is used to measure the structural integrity and durability of a tablet?,Friability test,Disintegration test,Dissolution test,Hardness test,Friability test
pharmaceutics, What type of water is strictly required for preparing parenterals (injections)?,Water for Injection,Purified water,Distilled water,Tap water,Water for Injection
pharmaceutics, Which component is used to prevent the growth of microbes in multi-dose liquids?,Preservative,Diluent,Glidant,Disintegrant,Preservative
pharmaceutics, What is the process of reducing the particle size of a solid drug called?,Comminution,Granulation,Trituration,Desiccation,Comminution
pharmaceutics, Which container is completely impermeable to air, moisture, and microbes?",Hermetic container,Well-closed container,Light-resistant container,Tight container,Hermetic container
pharmaceutics, What is the term for a liquid dosage form containing insoluble solid particles?,Suspension,Emulsion,Solution,Elixir,Suspension
pharmaceutics, Which dosage form is designed to bypass the stomach and dissolve in the intestine?,Enteric-coated tablet,Effervescent tablet,Sublingual tablet,Capsule,Enteric-coated tablet
pharmaceutics, What is the primary purpose of adding a binder in a tablet formulation?,To hold ingredients together,To make it taste sweet,To make it dissolve faster,To add color,To hold ingredients together
pharmaceutics, Which route of drug administration provides 100% bioavailability?,Intravenous (IV),Oral,Subcutaneous,Intramuscular,Intravenous (IV)
pharmaceutics, What is the term for a preparation consisting of two immiscible liquids?,Emulsion,Suspension,Syrup,Tincture,Emulsion
pharmaceutics, Which test is used to measure the structural integrity and durability of a tablet?,Friability test,Disintegration test,Dissolution test,Hardness test,Friability test
pharmaceutics, What type of water is strictly required for preparing parenterals (injections)?,Water for Injection,Purified water,Distilled water,Tap water,Water for Injection
pharmaceutics, Which component is used to prevent the growth of microbes in multi-dose liquids?,Preservative,Diluent,Glidant,Disintegrant,Preservative
pharmaceutics, What is the process of reducing the particle size of a solid drug called?,Comminution,Granulation,Trituration,Desiccation,Comminution
pharmaceutics, Which container is completely impermeable to air, moisture, and microbes?",Hermetic container,Well-closed container,Light-resistant container,Tight container,Hermetic container

